source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon
sreality,5990000,83,3,0,1,1,0,5,dobre,vybavene,osobni,Plzeň,49.736038,13.371051
sreality,18137241,77,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,3950000,56,2,0,1,1,0,1,velmi dobre,vybavene,osobni,Ostrava,49.780582,18.22607
sreality,13480000,71,3,1,0,1,1,7,novostavba,vybavene,osobni,Praha 9,50.103615,14.515414
sreality,10300000,56,2,1,0,1,0,7,novostavba,vybavene,osobni,Praha 9,50.103615,14.515414
sreality,10100000,56,2,1,0,0,0,7,novostavba,vybavene,osobni,Praha 9,50.103615,14.515414
sreality,18754816,76,3,1,1,1,1,3,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,5600000,24,1,1,0,0,1,2,novostavba,vybavene,osobni,Praha 5,50.054661,14.285619
sreality,11900000,92,3,0,0,1,1,1,velmi dobre,vybavene,osobni,Praha 4,50.044125,14.464195
sreality,5890000,88,3,0,0,1,0,5,velmi dobre,vybavene,osobni,Olomouc,49.596821,17.270296
sreality,5890000,40,1,1,1,1,0,2,velmi dobre,vybavene,osobni,Brno,49.178921,16.680239
sreality,15950000,67,2,1,1,1,1,6,novostavba,vybavene,osobni,Praha 3,50.08456,14.445819
sreality,59665880,203,5,1,1,1,1,7,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,11000000,122,5,1,0,1,1,1,novostavba,vybavene,osobni,Kladno,50.149464,14.145994
sreality,2890000,69,2,0,0,1,0,2,dobre,vybavene,osobni,Plzeň,50.772255,14.198051
sreality,7746359,28,1,1,1,0,0,1,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,2560000,27,1,1,1,1,1,13,dobre,vybavene,osobni,Ostrava,49.822998,18.185036
sreality,3500000,49,1,0,1,0,0,2,dobre,vybavene,osobni,Praha 6,50.084076,14.371244
sreality,35136760,132,4,1,1,1,1,6,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,24828820,110,4,1,1,1,1,5,novostavba,vybavene,osobni,Praha 5,50.071247,14.406638
sreality,32512800,145,3,0,1,0,0,3,velmi dobre,vybavene,osobni,Praha 1,50.086487,14.43189
sreality,8666300,27,1,1,1,1,0,7,velmi dobre,vybavene,osobni,Praha 1,50.081741,14.430139
sreality,2990000,29,1,1,0,0,0,3,novostavba,vybavene,osobni,Český Krumlov,48.737865,14.102581
sreality,4150000,64,2,0,1,1,0,2,velmi dobre,vybavene,osobni,Ostrava,49.837894,18.261972
sreality,8380000,53,2,1,1,1,1,1,novostavba,vybavene,osobni,Brno,49.217934,16.562582
sreality,2425000,26,1,1,0,0,0,8,velmi dobre,vybavene,osobni,Ostrava,49.840538,18.268583
sreality,3760000,24,1,1,1,0,1,2,dobre,vybavene,osobni,Brno,49.199635,16.620407
sreality,6765000,45,2,1,1,0,1,2,dobre,vybavene,osobni,Brno,49.199635,16.620407
sreality,8990000,84,3,1,0,0,0,1,novostavba,vybavene,osobni,Český Krumlov,48.762691,14.027915
sreality,9390000,45,2,1,1,1,1,2,novostavba,vybavene,osobni,Praha 6,50.070507,14.300911
sreality,8490000,98,4,1,0,1,0,3,velmi dobre,vybavene,osobni,Liberec,50.764713,15.074218
sreality,14862270,76,3,1,1,1,1,1,novostavba,vybavene,osobni,Praha 5,50.055294,14.37969
sreality,16240000,103,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 6,50.075191,14.326495
sreality,17899214,80,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,17559594,84,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,10400000,72,3,0,0,1,0,8,velmi dobre,vybavene,osobni,Praha,50.041679,14.564388
sreality,5590000,67,3,1,0,0,1,3,novostavba,vybavene,osobni,Český Krumlov,48.737865,14.102581
sreality,8490000,58,2,1,1,1,0,5,velmi dobre,vybavene,osobni,Praha 10,50.066528,14.551468
sreality,11590000,70,3,1,1,1,1,7,novostavba,vybavene,osobni,Praha 9,50.108219,14.525838
