source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon,closest_stop_km,closest_train_km,closest_school_km,closest_kinder_km,closest_market_km,closest_hospital_km
sreality,6350000,47,2,1,0,0,0,2,dobre,vybavene,osobni,Praha 4,49.988033,14.411863,0.24434822200192327,2.168930912278429,1.5320156754225391,0.11466277831051169,0.28613516041686365,2.074185669793483
sreality,4410000,27,1,1,1,1,0,1,novostavba,vybavene,osobni,Brno,49.127892,16.614414,0.10121694729046381,0.8940994961204793,0.40031818141297687,0.32462699792154837,0.09122208552354705,2.484286146932219
sreality,9990000,30,2,0,0,0,1,2,dobre,vybavene,osobni,Praha 1,50.083893,14.413526,0.0817283954255826,0.5627888951326213,0.37890882733127207,0.41170174249662345,0.044750135536388944,0.42658506591304124
sreality,18700000,169,4,1,0,1,0,5,velmi dobre,vybavene,osobni,Brno,49.20467,16.614653,0.26326206250913786,1.5106152960969792,0.2610418765705216,0.021474272071172647,0.09884216717339163,0.5523858985156705
sreality,5900000,56,2,1,1,1,1,6,velmi dobre,vybavene,osobni,Brno,49.199638,16.620007,0.15515644556399283,1.0713141819659209,0.46808323869901464,0.2703675544334886,0.06825188647427712,0.4501028354730851
sreality,5800000,55,2,1,1,0,1,5,velmi dobre,vybavene,osobni,Brno,49.199638,16.620007,0.15515644556399283,1.0713141819659209,0.46808323869901464,0.2703675544334886,0.06825188647427712,0.4501028354730851
sreality,4099000,63,2,0,0,0,1,5,velmi dobre,vybavene,osobni,Karlovy Vary,50.232861,12.871954,0.13083616226396116,0.47109509429063234,0.46075202279247196,0.6793064110791288,0.111071132142303,7.714032860708721
sreality,8950000,77,3,0,1,1,0,6,velmi dobre,vybavene,osobni,Praha 5,50.03558,14.338371,0.16473491553694644,1.1411688521476986,0.11629485537564238,0.17472678036055073,0.11128835708718349,0.3137564619545634
sreality,6990000,44,2,1,1,0,0,2,dobre,vybavene,osobni,Praha 6,50.086277,14.374228,0.1216312524268565,1.5702845126233058,0.08317870168478025,0.19748827511714875,0.1891907345522761,0.23521856012351916
sreality,7990000,88,3,0,0,1,0,1,velmi dobre,vybavene,osobni,Plzeň,49.745323,13.369148,0.06851888632484594,1.3907122147500763,0.3936436045320043,0.23746207150896442,0.09894164287948137,0.3238942481603469
sreality,6490000,51,2,0,0,1,0,1,velmi dobre,vybavene,osobni,Praha 5,50.058281,14.410919,0.1783132366781727,0.3496373198285001,0.7453756923961492,0.552266919340777,0.16950815224636648,1.2861238723332284
sreality,22500000,198,4,1,0,1,0,5,velmi dobre,vybavene,osobni,Brno,49.185013,16.632212,0.28875318148771373,1.2508347641371855,0.1579487134801691,0.7260602941921326,0.23255124921305853,0.432344788296169
sreality,8909900,58,2,1,1,0,1,2,novostavba,vybavene,osobni,Praha 9,50.151951,14.522381,0.06715803397056784,0.40042910816030897,0.055396751913741854,0.6087711956248933,0.5428802699119423,1.6025172662897635
sreality,13900000,91,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 10,50.019268,14.58224,0.18115950815037044,1.7368501883315162,1.9438285037296028,0.2734058650492774,1.4160149475178605,1.559186700617175
sreality,5990000,27,1,1,1,1,1,3,novostavba,vybavene,osobni,Praha 6,50.082985,14.311815,0.023011246124361052,0.13574216467698408,0.3867783240207933,1.243809772143259,0.4036041202038255,0.8751267461219738
sreality,14490000,70,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 9,50.095055,14.509292,0.13852496936176215,0.7971883595442267,0.4407165428562897,0.9799477817801117,0.3883109875244696,1.039131456072723
sreality,6800000,38,1,1,1,1,0,1,velmi dobre,vybavene,osobni,Praha 3,50.078705,14.458613,0.13720695160669177,0.5732352460768816,0.41157750058228,0.2752168278911455,0.025807764196200237,0.07560686606790483
sreality,7100000,36,1,1,1,0,0,4,novostavba,vybavene,osobni,Praha 4,50.042767,14.493135,0.034344564706140106,1.2517904808250926,0.19955174908071308,0.3953263603776631,0.1205240120259204,1.352265383381058
sreality,8300000,44,2,1,1,1,1,2,novostavba,vybavene,osobni,Praha 4,50.042767,14.493135,0.034344564706140106,1.2517904808250926,0.19955174908071308,0.3953263603776631,0.1205240120259204,1.352265383381058
