type,lat,lon
stop,50.7290436,13.0450429
stop,50.7436748,13.0401994
stop,50.7441373,13.0608019
stop,50.0261959,14.5208684
stop,50.0416988,14.4042507
stop,50.0365285,14.3882253
stop,50.035533,14.3835605
stop,50.0348936,14.3781712
stop,50.5398957,13.4139861
stop,50.5741819,13.2912759
stop,50.4183898,12.7331867
stop,50.6101103,13.4279677
stop,50.056837,14.5132355
stop,50.0605954,14.5059522
stop,50.0669386,14.4948309
stop,50.0700209,14.4893126
stop,50.0460619,14.8096437
stop,50.6475931,12.7361771
stop,49.1313242,18.5391514
stop,50.0652142,14.298907
stop,50.0657244,14.3036092
stop,50.0644884,14.3093674
stop,50.0662639,14.3264755
stop,50.0677005,14.336539
stop,50.0680531,14.346653
stop,50.0722535,14.3933239
stop,50.9952306,13.8663854
stop,49.0835464,18.738338
stop,51.0218179,14.7844606
stop,50.9981805,13.8261265
stop,51.004104,13.8476285
stop,48.5619129,17.8386822
stop,48.5553808,17.8383527
stop,48.5658705,17.8766766
stop,50.0781389,14.4673596
stop,50.0778917,14.4614847
stop,50.0782304,14.4751833
stop,50.0766831,14.4905865
stop,50.6200097,12.5154151
stop,51.0380645,13.7473654
stop,50.0824448,14.4575097
stop,50.0755851,14.3228059
stop,50.0855215,14.381716
stop,50.0839546,14.3715597
stop,50.0831577,14.3584261
stop,50.0813061,14.352769
stop,50.1374066,14.3958055
stop,49.5789548,15.6734025
stop,48.6757188,13.5417329
stop,48.6753421,13.5478784
stop,49.6943882,16.998546
stop,51.0269398,15.5952265
stop,50.9965567,15.5628264
stop,50.976646,14.8802796
stop,51.0355787,15.5953226
stop,50.9724791,15.5633892
stop,50.9882538,15.5652536
stop,50.0532946,14.5366675
stop,50.0532573,14.5374001
stop,50.0779009,14.5088276
stop,50.0780674,14.5094174
stop,50.046068,14.4677213
stop,49.4021149,15.5447183
stop,50.0524585,14.4535857
stop,49.4277176,15.582651
stop,50.072581,14.4905445
stop,49.8647546,18.326296
stop,49.8506479,18.3360696
stop,49.8486215,18.3416427
stop,49.8860971,12.3297862
stop,49.6144041,16.0349893
stop,50.578897,12.987385
stop,49.7080013,16.1383232
stop,50.0583489,14.3395264
stop,49.8318057,18.2780647
stop,50.909272,15.958733
stop,50.0732613,14.4152413
stop,49.7949501,12.2945231
stop,49.7951489,12.2943963
stop,49.7931996,12.2899303
stop,51.0117877,16.869665
stop,51.0569889,16.7057861
stop,51.0424452,16.7325299
stop,51.0344017,16.7584422
stop,50.1909507,14.5824902
stop,50.7085622,12.7350145
stop,49.6561994,15.9042808
stop,51.0468046,13.7636418
stop,51.0464382,13.770805
stop,51.0595917,13.752807
stop,51.0430689,13.7518648
stop,49.0115622,16.7780852
stop,49.8161757,12.2528858
stop,49.8160274,12.2529437
stop,49.8218911,12.2698788
stop,50.7434369,15.0244512
stop,50.1044976,14.4731371
stop,51.0341324,13.8226363
stop,51.0399227,13.6325868
stop,50.042029,14.4615117
stop,50.0415513,14.4602339
stop,50.0420194,14.4609385
stop,49.44191,12.9307519
stop,49.09923,13.1589597
stop,50.0403209,14.4095991
stop,49.8312572,18.1643675
stop,51.0503067,13.7130275
stop,51.0470867,13.6533928
stop,50.7993952,12.7264712
stop,50.1102679,14.501869
stop,49.7957705,14.5431201
stop,49.7833317,14.5405927
stop,50.0870203,14.3399527
stop,50.0866927,14.3399036
stop,50.0917617,14.3598355
stop,50.0935758,14.3891595
stop,50.0781909,14.3878028
stop,48.6712454,17.0054357
stop,49.4943245,14.6810662
stop,49.4814146,14.6058589
stop,49.4858778,14.6098044
stop,49.4879161,14.6111548
stop,49.4946205,14.6036348
stop,49.3819911,14.6392286
stop,49.380101,14.6425451
stop,50.933754,13.8288602
stop,51.0471128,13.7377149
stop,50.7976851,12.6906188
stop,49.474739,14.559731
stop,49.4855752,14.5756162
stop,49.4204731,14.6416443
stop,49.4189275,14.6459719
stop,49.4193798,14.6437523
stop,49.4194747,14.6497589
stop,49.419647,14.6527481
stop,49.4182448,14.6522571
stop,49.4195998,14.6605116
stop,49.4172613,14.6627173
stop,49.42232,14.6594283
stop,49.4136421,14.6633054
stop,49.4126534,14.6646474
stop,49.4125249,14.6625339
stop,49.4110565,14.6550465
stop,49.4108208,14.6556484
stop,49.4089849,14.6518021
stop,49.4085424,14.6508686
stop,49.4041812,14.6488994
stop,49.4041847,14.6491163
stop,49.4000816,14.641447
stop,49.4001174,14.6417464
stop,49.4849812,14.5468894
stop,49.4934431,14.5648571
stop,49.4819664,14.5288873
stop,49.4638035,14.5087323
stop,49.4675387,14.5611016
stop,49.4523422,14.5253148
stop,49.4312762,14.5047549
stop,50.8050024,12.6790624
stop,50.605762,12.6283245
stop,50.9224391,13.3285947
stop,49.4112816,14.6706336
stop,49.4113703,14.6706723
stop,49.4137198,14.6749484
stop,49.4139244,14.6753322
stop,49.4102964,14.6819814
stop,49.4104989,14.6819993
stop,49.40432,14.685088
stop,49.404114,14.68541
stop,49.4002726,14.6866452
stop,49.4007288,14.6889339
stop,48.8658924,12.5770465
stop,49.5078658,14.5685938
stop,48.9334394,16.8187758
stop,48.9349401,16.8217952
stop,48.9358253,16.8287041
stop,48.9363499,16.8160355
stop,51.0314772,13.5474451
stop,50.3081374,12.2725542
stop,49.3733469,14.7573851
stop,49.3769728,14.7679746
stop,50.582057,12.688121
stop,50.077413,14.5179165
stop,50.077764,14.5163635
stop,50.0775253,14.5184187
stop,50.0826099,14.5341866
stop,50.0856279,14.5380402
stop,50.5413698,14.5405661
stop,50.093613,14.5249277
stop,50.0916105,14.5360539
stop,50.0906314,14.5412747
stop,48.5556614,13.6327621
stop,48.5542806,13.6388498
stop,50.0922727,14.533754
stop,50.0856237,14.5375215
stop,50.0787951,14.53771
stop,50.0694114,14.5370017
